compound_name,cell_line,exp_date
3-BP,UP,20221031
3-BP,UP,20221215
3-BP,UP,20230731
3-BP,US,20220912
3-BP,US,20221017
3-BP,US,20221031
3-BP,US,20230731
3-BP,US,20230918
3-BP,US,20231016
3-BP,US,20231023
3-BP CAF-CM,US,20230918
3-BP CAF-CM,US,20231016
3-BP CAF-CM,US,20231023
5-FU,EICL_000V8,20221007
5-FU,UA,20220916
5-FU,UA,20220916
5-FU,UK,20220923
5-FU,UK,20220923
5-FU,UK,20220930
5-FU,UK,20220930
5-FU,UK,20221118
5-FU,UK,20221209
5-FU,UK,20221216
5-FU,UP,20220926
5-FU,UP,20220930
5-FU,UP,20221104
5-FU,UP,20221118
5-FU,UP,20221209
5-FU,UP,20221216
5-FU,UP,20230421
5-FU,UP,20230731
5-FU,US,20220822
5-FU,US,20220826
5-FU,US,20220826
5-FU,US,20220912
5-FU,US,20221028
5-FU,US,20221104
5-FU,US,20221104
5-FU,US,20230113
5-FU,US,20230127
5-FU,US,20230203
5-FU,US,20230210
5-FU,US,20230428
5-FU CAF-CM,US,20231127
5-FU CAF-CM,US,20231204
5-FU CAF-CM,US,20231204
5-FU CAF-CM,US,20231211
5-FU CAF-CM,US,20231211
5FU (Media changed on Day -2),US,20230210
CTX,UP,20221031
CTX,UP,20221128
CTX,UP,20221215
CTX,US,20220912
CTX,US,20221031
CTX,US,20230731
SN38,EICL_000V8,20221007
SN38,UK,20220826
SN38,UK,20220826
SN38,UK,20220923
SN38,UK,20220923
SN38,UK,20220930
SN38,UK,20220930
SN38,UK,20221118
SN38,UK,20221209
SN38,UK,20221216
SN38,UP,20220926
SN38,UP,20220930
SN38,UP,20221104
SN38,UP,20221118
SN38,UP,20221209
SN38,UP,20221216
SN38,UP,20230421
SN38,UP,20230821
SN38,US,20220822
SN38,US,20220912
SN38,US,20220916
SN38,US,20220916
SN38,US,20221028
SN38,US,20221104
SN38,US,20221104
SN38,US,20230113
SN38,US,20230127
SN38,US,20230203
SN38,US,20230210
SN38,US,20230428
SN38 (Media changed on Day -2),US,20230210
SN38 CAF-CM,US,20231127
SN38 CAF-CM,US,20231204
SN38 CAF-CM,US,20231211
SN38 CAF-CM,US,20231211
SN38 CAF-CM,US,202401085
STA CAF-CM,US,20230918
STA CAF-CM,US,20231016
STA CAF-CM,US,20231023
STA CAF-CM,US,20231127
STA CAF-CM,US,20231127
STA CAF-CM,US,20231204
STA CAF-CM,US,20231204
STA CAF-CM,US,20231211
STA CAF-CM,US,20231211
STA CAF-CM,US,20231211
STA CAF-CM,US,20231211
STA CAF-CM,US,202401085
untreated CAF-CM,US,20230918
untreated CAF-CM,US,20231016
untreated CAF-CM,US,20231023
untreated CAF-CM,US,20231127
untreated CAF-CM,US,20231127
untreated CAF-CM,US,20231204
untreated CAF-CM,US,20231204
untreated CAF-CM,US,20231211
untreated CAF-CM,US,20231211
untreated CAF-CM,US,20231211
untreated CAF-CM,US,20231211
untreated CAF-CM,US,202401085
